Starting debug run...
Fetching revenue events...
Fetched 672 events.
[DEBUG] Cutoff Date: 2026-01-20T12:37:39.368Z
Event: subscription | Date: 2026-02-16T11:32:54.316+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-16T11:31:48.07+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-16T11:19:31.084+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-16T10:54:13.537+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-16T09:48:47.422+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-16T09:25:22.475+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-16T06:34:54.891+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-16T05:27:57.519+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-16T04:45:41.999+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-16T04:44:28.171+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-16T02:42:35.786+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-16T00:17:34.975+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T22:42:10.871+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T22:03:50.478+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T22:00:25.366+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T20:31:14.698+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
